index,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,customer
1,QZ44356,AZ,f,Bachelor,697953.0,0,94,1/0/00,Personal Auto,Four-Door Car,1131,QZ44356
2,AI49188,,f,Bachelor,1288743.0,48767,108,1/0/00,Personal Auto,Two-Door Car,566,AI49188
3,WW63253,Cali,m,Bachelor,764586.0,0,106,1/0/00,Corporate Auto,SUV,529,WW63253
4,GA49547,WA,m,High School or Below,536307.0,36357,68,1/0/00,Personal Auto,Four-Door Car,17,GA49547
5,OC83172,,f,Bachelor,825629.0,62902,69,1/0/00,Personal Auto,Two-Door Car,159,OC83172
6,XZ87318,,f,College,538089.0,55350,67,1/0/00,Corporate Auto,Four-Door Car,321,XZ87318
7,CF85061,AZ,m,Master,721610.0,0,101,1/0/00,Corporate Auto,Four-Door Car,363,CF85061
8,DY87989,,m,Bachelor,2412750.0,14072,71,1/0/00,Corporate Auto,Four-Door Car,511,DY87989
9,BQ94931,,f,College,738817.0,28812,93,1/0/00,Special Auto,Four-Door Car,425,BQ94931
10,SX51350,Cali,m,College,473899.0,0,67,1/0/00,Personal Auto,Four-Door Car,482,SX51350
21,QK46697,WA,m,Bachelor,617710.0,61040,79,1/1/00,Personal Auto,Two-Door Car,20,QK46697
27,HS14476,WA,m,College,916206.0,29723,80,1/0/00,Personal Auto,Four-Door Car,20,HS14476
33,HD95276,WA,f,College,473787.0,0,130,1/0/00,Personal Auto,SUV,23,HD95276
44,YD87931,WA,m,Doctor,495165.0,46896,35354,1/1/00,Personal Auto,Four-Door Car,31,YD87931
53,NW21079,WA,f,Master,487938.0,67163,61,1/2/00,Personal Auto,Two-Door Car,33,NW21079
78,SP81997,WA,f,Master,,41275,96,1/0/00,Personal Auto,Four-Door Car,41,SP81997
85,YB66933,WA,f,Bachelor,538275.0,77552,68,1/1/00,Corporate Auto,Four-Door Car,45,YB66933
91,OW15518,WA,f,College,1595001.0,0,87,1/1/00,Personal Auto,Two-Door Car,46,OW15518
111,GP39118,WA,m,High School or Below,499655.0,71600,63,1/0/00,Personal Auto,Two-Door Car,46,GP39118
114,SG20925,WA,f,Master,518579.0,99428,6464,1/1/00,Personal Auto,Four-Door Car,48,SG20925
120,FM14335,WA,f,College,1048491.0,61108,89,1/0/00,Personal Auto,Four-Door Car,49,FM14335
129,HS28694,WA,f,High School or Below,282986.0,25317,71,1/0/00,Personal Auto,Two-Door Car,50,HS28694
137,LH92841,WA,f,Bachelor,725595.0,88891,89,1/0/00,Personal Auto,Four-Door Car,50,LH92841
139,AZ95587,,f,Bachelor,1038855.0,61222,89,1/0/00,Special Auto,Four-Door Car,392,AZ95587
140,DS81757,,m,College,247012.0,0,74,1/0/00,Personal Auto,Two-Door Car,721,DS81757
141,OJ94107,,m,Master,561906.0,50335,140,1/0/00,Personal Auto,SUV,456,OJ94107
142,LP84436,Cali,f,High School or Below,904711.0,0,127,1/0/00,Personal Auto,Luxury,1087,LP84436
143,FF22360,WA,f,Doctor,268731.0,82210,68,1/4/00,Personal Auto,Four-Door Car,51,FF22360
144,LM19287,,f,High School or Below,373150.0,0,96,1/0/00,Personal Auto,Four-Door Car,460,LM19287
145,ZU18643,,m,Bachelor,366077.0,64495,92,1/0/00,Corporate Auto,Four-Door Car,251,ZU18643
146,AZ82578,Cali,f,College,792882.0,0,72,1/0/00,Corporate Auto,Four-Door Car,345,AZ82578
147,XC67861,AZ,f,Bachelor,501175.0,28859,67,1/3/00,Corporate Auto,Two-Door Car,321,XC67861
148,YC43143,AZ,f,High School or Below,798825.0,77330,99,1/0/00,Personal Auto,Four-Door Car,99,YC43143
149,EK59571,,m,College,388545.0,0,105,1/0/00,Corporate Auto,Four-Door Car,504,EK59571
150,PA38372,WA,f,High School or Below,935773.0,33060,117,1/0/00,Personal Auto,Four-Door Car,56,PA38372
151,RO18530,WA,m,Master,254068.0,42557,65,1/0/00,Personal Auto,Four-Door Car,57,RO18530
152,PD27940,AZ,m,High School or Below,488516.0,26372,126,1/0/00,Personal Auto,SUV,604,PD27940
153,BS77946,AZ,f,Bachelor,975330.0,17514,127,1/0/00,Personal Auto,SUV,8,BS77946
154,YM50253,Cali, F ,Bachelor,294615.0,89270,74,1/0/00,Personal Auto,Four-Door Car,316,YM50253
155,NR15332,Cali,m,High School or Below,258111.0,29757,65,1/0/00,Personal Auto,Four-Door Car,312,NR15332
156,RC62865,,m,College,351738.0,51814,92,1/0/00,Personal Auto,Four-Door Car,56,RC62865
157,CC15295,,f,Bachelor,974335.0,24028,82,1/0/00,Personal Auto,Four-Door Car,393,CC15295
158,KA61892,AZ,m,College,387364.0,28142,105,1/0/00,Personal Auto,Luxury,701,KA61892
159,OS94884,AZ,f,Bachelor,764928.0,52705,64,1/1/00,Personal Auto,Two-Door Car,128,OS94884
160,ND87334,Cali,m,High School or Below,228759.0,0,63,1/0/00,Corporate Auto,Two-Door Car,679,ND87334
161,OY51402,WA,f,High School or Below,825576.0,54040,103,1/0/00,Personal Auto,SUV,59,OY51402
162,YL74911,Cali,f,College,871492.0,0,118,1/0/00,Personal Auto,SUV,566,YL74911
163,GK92563,WA,f,Doctor,681923.0,22492,85,1/0/00,Personal Auto,Two-Door Car,61,GK92563
164,HL53154,Cali,m,Bachelor,741619.0,0,77,1/2/00,Personal Auto,Four-Door Car,554,HL53154
165,RI78966,,m,Master,777115.0,21876,68,1/0/00,Personal Auto,Four-Door Car,465,RI78966
166,IC13702,Cali,f,Bachelor,696834.0,0,69,1/1/00,Personal Auto,Four-Door Car,496,IC13702
